programCode,seriesCode
25E029,pisa_read
25E029,pisa_science
25E032,lag_educ
25E032,school_atten
25E033,lag_educ
25E033,pisa_math
25E033,pisa_read
25E033,pisa_science
25E033,school_atten
25E072,lag_educ
25E072,pisa_math
25E072,pisa_read
25E072,pisa_science
25E072,school_atten
25E073,pisa_math
25E073,pisa_read
25E073,pisa_science
25E127,lag_educ
25E127,pisa_math
25E127,pisa_read
25E127,pisa_science
25E127,school_atten
25E128,pisa_math
25E128,pisa_read
25E128,pisa_science
25E152,lag_educ
25E152,school_atten
25E221,extre_pover
25E221,incom_ineq
25E221,lag_educ
25E221,moder_pover
25E221,pisa_math
25E221,pisa_read
25E221,pisa_science
25E221,school_atten
25E222,lag_educ
25E222,school_atten
25E227,lag_educ
25E227,pisa_math
25E227,pisa_read
25E227,pisa_science
25E227,school_atten
25E244,lag_educ
25E244,school_atten
25E246,pisa_math
25E246,pisa_read
25E246,pisa_science
25E247,pisa_math
25E247,pisa_read
25E247,pisa_science
25E267,pisa_math
25E267,pisa_read
25E267,pisa_science
25E270,pisa_math
25E270,pisa_read
25E270,pisa_science
25E271,lag_educ
25E271,pisa_math
25E271,pisa_read
25E271,pisa_science
25E271,school_atten
25G002,pisa_math
25G002,pisa_read
25G002,pisa_science
25K009,univ_educ
25S027,univ_educ
25S028,univ_educ
25S033,lag_educ
25S033,pisa_math
25S033,pisa_read
25S033,pisa_science
25S033,school_atten
25S035,lag_educ
25S035,pisa_math
25S035,pisa_read
25S035,pisa_science
25S035,school_atten
25S035,univ_educ
25S108,compu_school
25S108,illiterate
25S108,lag_educ
25S108,moder_pover
25S127,lag_educ
25S127,pisa_math
25S127,pisa_read
25S127,pisa_science
25S127,school_atten
25S152,lag_educ
25S152,school_atten
25S156,lag_educ
25S156,pisa_math
25S156,pisa_read
25S156,pisa_science
25S156,school_atten
25S156,univ_educ
25S221,extre_pover
25S221,incom_ineq
25S221,lag_educ
25S221,moder_pover
25S221,pisa_math
25S221,pisa_read
25S221,pisa_science
25S221,school_atten
25S222,lag_educ
25S222,school_atten
25S223,pisa_math
25S223,pisa_read
25S223,pisa_science
25S243,univ_educ
25U001,lag_educ
25U001,pisa_math
25U001,pisa_read
25U001,pisa_science
25U001,school_atten
25U002,lag_educ
25U002,school_atten
25U016,extre_pover
25U016,incom_ineq
25U016,lag_educ
25U016,moder_pover
25U016,pisa_math
25U016,pisa_read
25U016,pisa_science
25U016,school_atten
25U030,pisa_math
25U030,pisa_read
25U030,pisa_science
25U030,univ_educ
25U032,extre_pover
25U032,lag_educ
25U032,moder_pover
25U061,lag_educ
25U061,school_atten
25U065,lag_educ
25U065,school_atten
31E001,extre_pover
31E001,incom_ineq
31E001,insec_food
31E001,moder_pover
31E001,own_house
31E002,extre_pover
31E002,incom_ineq
31E002,insec_food
31E002,moder_pover
31E002,own_house
33I001,lack_health
33I001,lack_secur
33I001,lag_educ
33I001,pisa_math
33I001,pisa_read
33I001,pisa_science
33I001,school_atten
33I002,lack_health
33I002,lack_secur
33I003,acce_comu
33I003,extre_pover
33I003,house_servi
33I003,incom_ineq
33I003,lack_health
33I003,lack_secur
33I003,moder_pover
33I003,trash_dispo
33I004,acce_comu
33I004,house_servi
33I004,incom_ineq
33I004,lack_health
33I004,lack_secur
33I004,moder_pover
33I004,trash_dispo
33I005,lack_health
33I005,lack_secur
33I006,extre_pover
33I006,incom_ineq
33I006,lack_food
33I006,lack_health
33I006,lack_secur
33I006,life_expec
33I006,moder_pover
33I006,mort_infan
33I007,lack_health
33I007,lack_secur
33I007,lag_educ
33I007,school_atten
33I008,high_educ
33I008,lack_health
33I008,lack_secur
33I008,univ_educ
33I009,compu_school
33I009,extre_pover
33I009,incom_ineq
33I009,lack_health
33I009,lack_secur
33I009,lag_educ
33I009,moder_pover
33I010,compu_school
33I010,extre_pover
33I010,incom_ineq
33I010,lack_health
33I010,lack_secur
33I010,lag_educ
33I010,moder_pover
33I011,lack_health
33I011,lack_secur
33I012,lack_health
33I012,lack_secur
33I013,lack_health
33I013,lack_secur
33I013,lag_educ
33I013,school_atten
33I014,lack_health
33I014,lack_secur
33I014,lag_educ
33I014,school_atten
33I015,lack_health
33I015,lack_secur
33I015,lag_educ
33I015,school_atten
33I016,lack_health
33I016,lack_secur
33I016,lag_educ
33I016,school_atten
33I017,lack_health
33I017,lack_secur
33I018,lack_health
33I018,lack_secur
33I019,lack_health
33I019,lack_secur
33I020,lack_health
33I020,lack_secur
33I021,lack_health
33I021,lack_secur
33I022,lack_health
33I022,lack_secur
