stateAbbreviation,year,total,participations,contributions
MOR,2018,32842176408,11308776223,16300397754
NAY,2018,28802670339,7962066800,14026274363
NLE,2018,109971210061,39234140296,34238671165
OAX,2018,89956220038,21467151188,52222534226
PUE,2018,97524389900,36002293345,51168320510
QUE,2018,37546904193,15335309479,17039893692
ROO,2018,33904126851,11532854911,14037172870
SLP,2018,49019995760,17791216379,26168118484
SIN,2018,60748649262,20705815742,33731896047
SON,2018,91281697631,22904059241,24626960855
TAB,2018,50122890778,23970758004,22816884474
TAM,2018,73913219048,23106388452,29500467398
TLA,2018,23180542052,8236696722,13513978755
VER,2018,136717615975,48744800000,68552592713
YUC,2018,39800045499,14690805601,20128513942
ZAC,2018,34941953849,10939573191,20284421993
AGU,2019,25317913306,9318097240,12454613408
BCN,2019,58643977160,24612485134,27002107232
BCS,2019,18678011717,6675498702,9650404411
CAM,2019,24209471210,9644962194,12163729197
COA,2019,54450904124,20621729826,24258645485
COL,2019,18968561294,5998264375,9473949475
CHP,2019,96687349784,33019455403,59353053031
CHH,2019,87960803073,26757755585,32160809000
DUR,2019,36761816358,11161425435,19082219051
GUA,2019,95638467508,39121592188,40998070850
GRO,2019,69141484878,20188071425,44520929097
HID,2019,54258090012,18791983081,30834202497
JAL,2019,120569898135,56978067135,51815076668
MEX,2019,326923689500,121013791000,103050533000
MIC,2019,79978749718,28530498479,46971612396
MOR,2019,31497810280,11892981316,17278917988
NAY,2019,26118932281,9224739401,14187784526
NLE,2019,105476125490,41937875000,36710666000
OAX,2019,86570475311,22901346254,52613539180
PUE,2019,98178185100,38193496000,50041877600
QUE,2019,38272397756,15810589005,16818079934
ROO,2019,36707294924,11429395106,15354643440
SLP,2019,50619676773,19146960330,26428639650
SIN,2019,58563208895,21324183805,30622388520
SON,2019,71312008354,25144720969,23946225080
TAB,2019,56980671638,25964449688,25029335387
TAM,2019,66247643093,24752263304,30657895662
TLA,2019,23250070289,8922326317,12934379313
VER,2019,153492028666,51011357473,71741710604
YUC,2019,38847724502,15550475898,18707202160
ZAC,2019,33806399815,11050232176,19412276327
AGU,2020,26045612154,10017305831,12803535645
BCN,2020,73148689659,25669418877,27298187247
BCS,2020,17933006466,6328374840,9500954202
CAM,2020,23832684098,8557941000,12689808813
COA,2020,55016334135,19300076317,26265618598
COL,2020,19064120269,5863876521,9910391222
CHP,2020,103711056992,37031184594,61735347268
CHH,2020,83677821033,28141138833,32083264222
DUR,2020,37423859875,10977983154,19121975836
GUA,2020,92628811959,36553768283,43341218535
GRO,2020,72389735691,19685574864,48848616592
HID,2020,52783297268,16617022158,32240990927
JAL,2020,131318927363,60489101019,49368400268
MEX,2020,313396211800,115202256000,107786100600
MIC,2020,82707316246,26301759144,47965636243
MOR,2020,30615827703,11058339958,17783926828
NAY,2020,25472515714,8338074040,15525710105
NLE,2020,110517256957,40234586335,39082908584
OAX,2020,94063990978,22191843267,53922232393
PUE,2020,96792571012,35583025994,51410337895
QUE,2020,39280885441,15756000497,17373442548
ROO,2020,54537759051,11407243720,15488863539
SLP,2020,51009978600,18094530753,27449257202
SIN,2020,59137306448,20618093887,32230704120
SON,2020,70870781543,24070120276,24385624469
TAB,2020,58848521302,24009452724,26229421772
TAM,2020,64764955180,23620432236,31999308120
TLA,2020,23670708841,9446209251,13018535239
VER,2020,154750387094,49797854820,75260624288
YUC,2020,42970133093,14504844829,21045849104
ZAC,2020,33121371241,10602525752,19875307133
CMX,2005,79623633100,34829008900,9828900400
CMX,2006,94753262200,43886042300,12801238900
CMX,2007,101176819500,43352968200,12824589600
CMX,2008,116511030187,51972910600,21223856000
CMX,2009,119644492400,46715300700,27604201000
CMX,2010,130541396200,52600854200,21196116800
CMX,2011,140452469900,56318618000,22363592000
CMX,2012,146005120000,56162853000,21367996000
CMX,2013,157266571400,64701231100,24579138000
CMX,2014,178005750800,72863225300,27574133100
CMX,2015,195385971600,73153065800,28747956500
CMX,2016,210844683185,81491020200,35102465600
CMX,2017,218651533100,87712155600,29126764900
CMX,2018,232997023500,92818767000,29061304000
CMX,2019,230640525639,93606915831,29424988700
CMX,2020,219374758023,87384218300,31906856300
